date,body feeling,feeling,energy level,todays headline,grateful for,walk,journal,keto,if,exercise,jump,mediation,mg,alcohol,headache,latesleep,interrupted sleep(tothinight)
25/08/2021,"headache, slow",,,,,1,0,0,0,0,0,0,0,1,1,0,0
26/08/2021,"excited, interview",,,,,1,1,0,0,0,0,0,0,0,0,0,0
27/08/2021,normal,,,,,1,1,0,0,0,0,0,0,0,0,0,0
28/08/2021,"happy, relax",,,,,1,0,0,0,0,0,0,0,1,0,0,0
29/08/2021,happy,,,,,1,0,0,1,0,0,0,0,1,0,0,0
30/08/2021,"happy, beach",,,,,1,0,0,1,1,0,0,0,0,0,0,0
31/08/2021,"happy, beach",,,,,1,1,0,1,1,0,0,0,0,0,0,0
01/09/2021,"db lost, anxious",,,,,1,0,0,0,0,0,0,0,0,0,0,1
02/09/2021,"interview, failed, stressed",,,,,1,1,0,1,0,0,0,0,0,0,0,0
03/09/2021,"interview, stressed",,,,,1,0,0,1,0,0,0,0,0,0,0,0
04/09/2021,"happy, relax",,,,,1,0,0,1,0,0,0,0,0,0,0,0
05/09/2021,happy,,,,,1,0,0,1,0,0,0,0,0,1,0,0
06/09/2021,content,,,,,1,1,0,1,0,0,0,0,0,0,0,0
08/09/2021,"happy, vaccinated",,,,,1,1,0,1,0,0,0,0,0,0,0,0
10/09/2021,pissy,,,,,1,1,0,0,0,0,0,0,0,0,0,0
13/09/2021,sluggish,,,,,1,1,0,0,0,0,0,0,0,0,0,0
14/09/2021,excited,,,,,1,1,0,0,0,0,0,0,0,0,0,0
15/09/2021,sore throat,,,,,1,1,0,0,0,0,0,0,0,0,0,0
16/09/2021,"sleepy, sore throat",,,,,1,1,0,0,0,0,0,0,0,0,0,0
17/09/2021,sore throat,,,,,1,1,0,0,0,0,0,0,0,0,0,0
18/09/2021,sore throat,,,,,1,1,0,0,0,0,0,0,0,0,0,0
19/09/2021,stuffed nose,,,,,1,1,0,0,0,0,0,0,0,0,0,0
20/09/2021,ok,,,,,1,0,0,0,0,0,0,0,0,0,0,0
21/09/2021,normal,,,,,1,1,0,0,0,0,0,0,0,0,0,0
22/09/2021,normal,,,,,1,1,1,0,0,0,0,0,0,0,0,0
23/09/2021,slow,,,,,1,1,0,0,0,0,0,0,0,0,0,0
26/09/2021,headache,,,,,1,1,0,0,0,0,0,0,0,1,0,0
27/09/2021,headache,,,,,1,1,0,0,1,0,0,0,0,1,0,0
2021-09-29,"mild headache, managed to re-write nyt scraper",,,,,1,0,0,0,1,0,0,0,1,1,0,0
2021-09-30,"rewrote nyt_scraper - text, no headache ",,,,,1,1,0,1,1,0,0,0,0,0,0,0
2021-10-02,"calm, picked lingonberries",,,,,1,1,0,0,0,0,0,0,1,0,0,0
